Date,ID,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10
05/10/2024,1,4,4,3,4,4,2,4,3,2,3
05/10/2024,2,2,4,4,4,4,3,3,3,5,3
05/10/2024,3,3,3,3,4,2,5,3,2,3,3
05/10/2024,4,4,3,3,3,4,4,3,4,3,3
05/10/2024,5,3,2,3,3,4,3,3,4,4,3
05/10/2024,6,4,2,3,4,2,2,3,4,4,1
05/10/2024,7,2,4,3,1,1,5,3,4,2,2
05/10/2024,8,4,2,4,3,3,2,2,4,4,2
05/10/2024,9,3,2,2,3,3,4,2,3,2,2
05/10/2024,10,3,2,3,4,2,2,5,2,2,1
05/10/2024,11,3,1,4,5,3,3,3,4,3,2
05/10/2024,12,5,2,1,5,4,2,2,3,5,3
05/10/2024,13,4,2,3,3,4,4,2,4,1,3
05/10/2024,14,4,2,3,3,3,2,3,3,3,1
05/10/2024,15,2,2,4,4,2,2,4,4,4,3
05/10/2024,16,2,3,1,5,3,2,2,2,2,3
05/10/2024,17,3,3,3,4,2,4,4,5,2,2
05/10/2024,18,2,2,3,2,2,4,2,4,4,3
05/10/2024,19,1,3,2,2,4,3,4,1,3,4
05/10/2024,20,3,4,4,3,2,3,3,5,4,4
05/10/2024,21,1,4,3,4,2,3,3,4,3,3
05/10/2024,22,1,4,3,4,5,3,4,3,4,2
05/10/2024,23,3,4,2,2,3,3,4,4,4,4
05/10/2024,24,3,4,2,2,3,2,3,2,2,3
05/10/2024,25,4,3,2,3,2,3,3,3,3,3
05/10/2024,26,4,5,3,3,3,3,4,3,3,3
05/10/2024,27,1,3,5,1,2,2,2,4,4,5
05/10/2024,28,3,3,3,5,1,2,4,3,4,5
05/10/2024,29,2,4,2,1,1,3,2,4,2,3
05/10/2024,30,5,3,3,3,4,2,2,2,2,4
05/10/2024,31,3,3,3,4,4,3,4,5,2,3
05/10/2024,32,2,3,3,2,4,3,4,3,1,4
05/10/2024,33,3,2,2,2,3,1,2,2,3,1
05/10/2024,34,2,3,2,2,2,4,2,3,2,3
05/10/2024,35,3,2,3,2,2,2,3,2,4,3
05/10/2024,36,2,5,3,1,5,2,3,4,4,4
05/10/2024,37,3,2,2,3,3,3,4,4,3,4
05/10/2024,38,2,1,1,5,4,1,3,4,3,2
05/10/2024,39,3,1,4,2,2,3,4,4,4,2
05/10/2024,40,4,4,3,3,5,4,4,2,4,2
05/10/2024,41,3,3,3,2,3,1,3,3,4,4
05/10/2024,42,2,5,5,2,4,4,3,3,3,3
05/10/2024,43,5,3,1,1,3,2,3,4,2,4
05/10/2024,44,2,3,3,5,3,2,3,4,1,3
05/10/2024,45,1,3,4,4,3,4,3,3,3,5
05/10/2024,46,2,4,4,2,5,3,2,3,3,3
05/10/2024,47,3,3,2,2,4,4,3,2,3,3
05/10/2024,48,4,4,3,4,2,3,4,3,3,4
05/10/2024,49,3,3,2,3,2,3,5,3,5,3
05/10/2024,50,2,3,5,5,4,4,3,2,1,2
05/10/2024,51,3,2,3,2,3,3,3,3,4,3
05/10/2024,52,3,5,3,1,2,2,5,5,3,3
05/10/2024,53,3,3,3,2,2,4,3,4,2,2
05/10/2024,54,2,2,3,3,3,3,4,3,4,2
05/10/2024,55,1,4,4,4,3,1,2,3,2,3
05/10/2024,56,3,2,2,1,2,3,4,4,1,3
05/10/2024,57,4,3,4,2,2,3,4,1,2,4
05/10/2024,58,3,3,4,2,2,3,3,2,3,3
05/10/2024,59,3,4,4,2,3,4,5,3,3,3
05/10/2024,60,3,4,4,4,3,2,1,2,5,4
05/10/2024,61,5,4,3,5,4,3,3,2,4,4
05/10/2024,62,3,3,2,4,5,4,2,2,3,3
05/10/2024,63,3,4,1,3,4,2,4,5,3,2
05/10/2024,64,3,4,3,3,3,2,3,5,2,2
05/10/2024,65,3,4,2,4,3,3,3,3,4,2
05/10/2024,66,4,3,3,4,3,2,5,2,2,2
05/10/2024,67,2,2,1,3,2,1,5,3,2,2
05/10/2024,68,2,1,2,2,3,4,2,2,4,4
05/10/2024,69,3,3,3,1,4,4,4,2,3,2
05/10/2024,70,2,3,2,2,4,3,3,2,2,4
05/10/2024,71,4,1,4,1,4,2,4,3,2,3
05/10/2024,72,3,2,4,2,4,3,3,3,4,3
05/10/2024,73,3,2,2,3,3,3,4,1,5,3
05/10/2024,74,5,2,4,2,4,5,5,4,2,4
05/10/2024,75,4,3,2,2,3,4,2,4,4,2
05/10/2024,76,1,4,2,2,3,5,4,3,2,2
05/10/2024,77,4,3,3,2,3,2,3,4,3,4
05/10/2024,78,4,3,4,2,2,4,5,2,3,1
05/10/2024,79,5,5,5,4,4,2,3,2,3,4
05/10/2024,80,3,2,2,1,3,4,3,2,2,3
05/10/2024,81,4,3,4,4,4,4,4,4,3,4
05/10/2024,82,3,1,4,5,3,3,3,2,3,1
05/10/2024,83,3,4,1,3,4,4,3,4,2,3
05/10/2024,84,5,3,2,2,3,2,3,3,3,4
05/10/2024,85,2,2,3,5,3,2,4,3,1,3
05/10/2024,86,2,3,4,2,4,4,3,3,3,3
05/10/2024,87,5,3,3,2,3,2,4,3,3,3
05/10/2024,88,3,3,3,4,4,1,3,4,4,3
05/10/2024,89,4,1,2,5,2,4,1,3,5,2
05/10/2024,90,5,4,2,4,3,4,3,3,3,5
05/10/2024,91,3,4,5,3,5,3,4,4,3,3
05/10/2024,92,4,4,1,4,2,3,4,3,2,3
05/10/2024,93,3,4,3,2,3,3,3,3,4,4
05/10/2024,94,2,3,3,3,1,3,3,4,3,1
05/10/2024,95,3,2,3,3,4,3,5,3,4,2
05/10/2024,96,2,2,2,5,3,3,2,3,3,4
05/10/2024,97,4,4,3,2,1,3,3,2,4,3
05/10/2024,98,4,4,4,2,3,3,2,5,3,2
05/10/2024,99,2,4,3,3,3,2,2,4,3,3
05/10/2024,100,4,2,3,2,2,4,3,2,2,3
05/10/2024,101,2,3,3,2,2,3,4,3,4,3
05/10/2024,102,3,3,4,3,2,3,2,3,4,4
05/10/2024,103,2,3,4,3,3,5,2,3,3,1
05/10/2024,104,2,4,4,2,4,3,2,2,4,2
05/10/2024,105,4,2,4,3,3,3,4,4,2,3
05/10/2024,106,3,3,5,1,3,2,3,3,1,2
05/10/2024,107,1,3,4,2,2,4,3,2,5,3
05/10/2024,108,5,3,2,2,3,3,2,3,2,4
05/10/2024,109,4,2,3,4,3,3,4,3,3,3
05/10/2024,110,3,2,3,3,4,3,3,5,4,4
05/10/2024,111,3,3,3,3,3,3,3,5,2,3
05/10/2024,112,3,4,2,4,5,3,3,3,3,2
05/10/2024,113,4,2,1,4,3,3,3,3,3,3
